packet size: 512bytes
number of packets: 16.0
signal frequency: 40
sample frequency: 80.0
force units: N, moment units: Nm
Counter: 106.0     , Fx: -0.02     ,Fy: -0.04     , Fz: -0.15     , Mx: 0.0       ,My: -0.0008   ,Mz: 0.0031    ,
Counter: 107.0     , Fx: -0.16     ,Fy: -0.36     , Fz: 0.24      , Mx: -0.0008   ,My: 0.0       ,Mz: -0.0031   ,
Counter: 108.0     , Fx: 0.29      ,Fy: -0.08     , Fz: 1.07      , Mx: 0.0       ,My: 0.0       ,Mz: 0.0       ,
Counter: 109.0     , Fx: -0.02     ,Fy: 0.2       , Fz: 0.1       , Mx: -0.0008   ,My: 0.0       ,Mz: 0.001     ,
Counter: 110.0     , Fx: -0.06     ,Fy: 0.19      , Fz: 0.44      , Mx: 0.004     ,My: -0.0008   ,Mz: 0.0073    ,
Counter: 111.0     , Fx: 0.01      ,Fy: -0.14     , Fz: -0.34     , Mx: -0.0016   ,My: -0.0008   ,Mz: -0.001    ,
Counter: 112.0     , Fx: 0.26      ,Fy: 0.03      , Fz: 0.24      , Mx: -0.0016   ,My: -0.0024   ,Mz: 0.0       ,
Counter: 113.0     , Fx: 0.2       ,Fy: 0.05      , Fz: 0.15      , Mx: 0.0       ,My: 0.0032    ,Mz: -0.001    ,
Counter: 114.0     , Fx: 0.02      ,Fy: -0.11     , Fz: -0.53     , Mx: 0.0016    ,My: 0.0008    ,Mz: -0.0042   ,
Counter: 115.0     , Fx: 0.0       ,Fy: 0.09      , Fz: 1.07      , Mx: -0.0024   ,My: -0.0024   ,Mz: -0.0031   ,
Counter: 116.0     , Fx: 0.04      ,Fy: 0.07      , Fz: 0.53      , Mx: -0.0016   ,My: 0.0008    ,Mz: 0.0       ,
Counter: 117.0     , Fx: -0.01     ,Fy: 0.05      , Fz: 0.63      , Mx: 0.0016    ,My: -0.0064   ,Mz: 0.0       ,
Counter: 118.0     , Fx: -0.03     ,Fy: 0.01      , Fz: 0.34      , Mx: 0.0       ,My: 0.0032    ,Mz: 0.0       ,
Counter: 119.0     , Fx: -0.08     ,Fy: -0.13     , Fz: -0.68     , Mx: -0.0008   ,My: 0.0008    ,Mz: 0.001     ,
Counter: 120.0     , Fx: -0.06     ,Fy: -0.12     , Fz: 1.21      , Mx: -0.0032   ,My: -0.0032   ,Mz: -0.0031   ,
Counter: 121.0     , Fx: -0.11     ,Fy: -0.17     , Fz: -0.34     , Mx: 0.0       ,My: 0.0       ,Mz: 0.0031    ,
Counter: 122.0     , Fx: 0.02      ,Fy: 0.07      , Fz: -0.34     , Mx: -0.0008   ,My: -0.0008   ,Mz: 0.0       ,
Counter: 123.0     , Fx: 0.02      ,Fy: -0.16     , Fz: 1.16      , Mx: 0.0024    ,My: 0.004     ,Mz: 0.0       ,
Counter: 124.0     , Fx: 0.07      ,Fy: -0.03     , Fz: 0.44      , Mx: 0.0008    ,My: 0.004     ,Mz: -0.0021   ,
Counter: 125.0     , Fx: 0.13      ,Fy: -0.3      , Fz: 0.15      , Mx: 0.0008    ,My: 0.0008    ,Mz: 0.0031    ,
Counter: 126.0     , Fx: -0.17     ,Fy: -0.05     , Fz: 0.34      , Mx: 0.0       ,My: -0.0016   ,Mz: 0.0031    ,
