0.12721   	15.94454  	31.61226  	3.11513   	0.04062   	0.06230   
0.12843   	15.94437  	31.61293  	3.11515   	0.04069   	0.06229   
0.12685   	15.94397  	31.61241  	3.11517   	0.04059   	0.06228   
0.12822   	15.94415  	31.61295  	3.11514   	0.04070   	0.06233   
0.12752   	15.94407  	31.61266  	3.11515   	0.04065   	0.06232   
0.12676   	15.94425  	31.61220  	3.11513   	0.04061   	0.06233   
0.12785   	15.94454  	31.61258  	3.11515   	0.04064   	0.06227   
0.12739   	15.94455  	31.61236  	3.11514   	0.04062   	0.06228   
0.12661   	15.94394  	31.61229  	3.11514   	0.04061   	0.06235   
0.12658   	15.94392  	31.61229  	3.11516   	0.04059   	0.06232   
0.12814   	15.94478  	31.61259  	3.11512   	0.04067   	0.06229   
0.12761   	15.94410  	31.61269  	3.11515   	0.04065   	0.06232   
0.12716   	15.94402  	31.61253  	3.11515   	0.04063   	0.06233   
0.12740   	15.94511  	31.61207  	3.11510   	0.04063   	0.06229   
0.12817   	15.94446  	31.61277  	3.11515   	0.04066   	0.06227   
0.12848   	15.94477  	31.61275  	3.11512   	0.04070   	0.06229   
0.12777   	15.94502  	31.61228  	3.11511   	0.04064   	0.06227   
0.12749   	15.94439  	31.61247  	3.11514   	0.04064   	0.06230   
0.12758   	15.94391  	31.61278  	3.11517   	0.04064   	0.06229   
0.12784   	15.94549  	31.61206  	3.11508   	0.04065   	0.06227   
0.12801   	15.94454  	31.61266  	3.11515   	0.04065   	0.06226   
0.12761   	15.94484  	31.61230  	3.11512   	0.04064   	0.06228   
0.12774   	15.94417  	31.61272  	3.11516   	0.04065   	0.06229   
0.12781   	15.94509  	31.61224  	3.11509   	0.04067   	0.06233   
0.12728   	15.94449  	31.61234  	3.11515   	0.04061   	0.06227   
0.12854   	15.94454  	31.61290  	3.11515   	0.04068   	0.06227   
0.12712   	15.94434  	31.61233  	3.11515   	0.04060   	0.06228   
0.12756   	15.94419  	31.61262  	3.11514   	0.04066   	0.06233   
0.12765   	15.94467  	31.61241  	3.11512   	0.04065   	0.06230   
0.12645   	15.94437  	31.61198  	3.11514   	0.04057   	0.06230   
0.12822   	15.94478  	31.61262  	3.11512   	0.04068   	0.06229   
0.12775   	15.94412  	31.61275  	3.11516   	0.04065   	0.06229   
0.12816   	15.94426  	31.61288  	3.11516   	0.04067   	0.06229   
0.12781   	15.94473  	31.61244  	3.11511   	0.04067   	0.06232   
0.12691   	15.94386  	31.61249  	3.11516   	0.04061   	0.06232   
0.12794   	15.94449  	31.61265  	3.11515   	0.04065   	0.06227   
0.12704   	15.94423  	31.61235  	3.11517   	0.04059   	0.06226   
0.12843   	15.94413  	31.61307  	3.11516   	0.04070   	0.06231   
0.12797   	15.94400  	31.61291  	3.11516   	0.04068   	0.06232   
0.12789   	15.94413  	31.61280  	3.11515   	0.04067   	0.06232   
0.12799   	15.94448  	31.61267  	3.11513   	0.04067   	0.06231   
0.12721   	15.94452  	31.61226  	3.11512   	0.04064   	0.06233   
0.12742   	15.94471  	31.61229  	3.11513   	0.04062   	0.06228   
0.12636   	15.94389  	31.61222  	3.11517   	0.04056   	0.06229   
0.12935   	15.94482  	31.61314  	3.11514   	0.04072   	0.06224   
0.12751   	15.94435  	31.61251  	3.11514   	0.04064   	0.06230   
0.12738   	15.94435  	31.61244  	3.11513   	0.04065   	0.06234   
0.12780   	15.94397  	31.61286  	3.11516   	0.04067   	0.06232   
0.12679   	15.94363  	31.61254  	3.11518   	0.04060   	0.06232   
